"Pergunta", "Resposta Esperada"
"Existe limite de idade para a obrigatoriedade ou dispensa de apresentação da Declaração de Ajuste Anual?", "Não há limitação quanto à idade."
"O contribuinte deve apresentar uma Declaração de Ajuste Anual para cada fonte pagadora dos rendimentos que auferir?", "Não. O contribuinte deve apresentar somente uma Declaração de Ajuste Anual independentemente do número de fontes pagadoras informando todos os rendimentos recebidos durante o ano-calendário de 2023."
"Contribuinte com doença grave está desobrigado de apresentar a declaração?", "Não. A isenção relativa à doença grave especificada em lei não desobriga por si só o contribuinte de apresentar declaração."
"Quem pode optar pelo desconto simplificado na apresentação da Declaração de Ajuste Anual?", "Qualquer contribuinte pode optar pelo desconto simplificado. Entretanto após o prazo para a apresentação da declaração não será admitida a mudança na forma de tributação de declaração já apresentada."
"Qual é o prazo de apresentação da Declaração de Ajuste Anual para a pessoa física ausente do Brasil?", "A pessoa física que se encontra no exterior deve apresentar sua declaração até 31 de maio de 2024"
"Contribuinte que na data final da apresentação da declaração se encontra em viagem fora de seu domicílio fiscal tem direito à prorrogação desse prazo?", "Não. Recomenda-se que o contribuinte apresente sua declaração no prazo legal no local onde se encontrar indicando no campo próprio seu domicílio fiscal permanente."
"Em quais instituições financeiras podem ser apresentadas a Declaração de Ajuste Anual de pessoas físicas do exercício de 2024?", "As declarações de Ajuste Anual desde o exercício de 2015 mesmo que no prazo não podem ser apresentadas em instituições financeiras."
"Como proceder quando a declaração retificadora do contribuinte implicar modificações na declaração do cônjuge ou companheiro?", "O cônjuge ou companheiro também deve apresentar declaração retificadora."
"Erros na Declaração de Bens e Direitos ou na Declaração de Dívidas e Ônus Reais que não influenciem no saldo de imposto a pagar ou a restituir precisam ser retificados ou podem ser corrigidos na próxima declaração?", "Os erros na Declaração de Bens e Direitos ou na Declaração de Dívidas e Ônus Reais devem ser retificados mediante a apresentação de declaração retificadora relativa ao ano-calendário correspondente."
"A pessoa física não residente no Brasil está obrigada à inscrição no Cadastro de Pessoas Físicas (CPF)?, "Está obrigada a inscrever-se no CPF a pessoa física não residente que possua no Brasil bens e direitos sujeitos a registro público inclusive imóveis veículos embarcações aeronaves participações societárias contas-correntes bancárias aplicações no mercado financeiro e aplicações no mercado de capitais."
"É obrigatória a inscrição no Cadastro de Pessoas Físicas (CPF) de dependente relacionado em Declaração de Ajuste Anual?", "É obrigatória a inscrição no Cadastro de Pessoas Físicas (CPF) das pessoas físicas que constem como dependente para fins do Imposto sobre a Renda da Pessoa Física."
"O que se considera base de cálculo do imposto sobre a renda a ser apurado na declaração?", "A base de cálculo do imposto devido é a diferença entre a soma dos rendimentos recebidos durante o anocalendário (exceto os isentos não tributáveis tributáveis exclusivamente na fonte ou sujeitos à tributação definitiva) e as deduções permitidas pela legislação."
"Há correção monetária na restituição ou compensação de imposto pago a maior ou indevidamente?", "Não. Sobre o valor a ser utilizado na compensação ou na restituição incidem juros equivalentes à taxa Selic para títulos federais acumulada mensalmente a partir do mês subsequente ao do pagamento indevido ou a maior até o mês anterior ao da compensação ou da restituição e de 1% relativamente ao mês em que estiver sendo efetuada."
"A restituição só pode ser creditada em conta bancária?", "O crédito da restituição só pode ser efetuado em conta-corrente conta pagamento ou de poupança de titularidade do contribuinte (a indicação da conta pode ser feita por meio de PIX utilizando necessariamente a chave CPF do titular da declaração)."
"No caso de conta conjunta ambos os contribuintes podem indicá-la para o recebimento da restituição?", "Sim. Ambos os contribuintes podem indicá-la para o recebimento da restituição."
"É possível autorizar o crédito da restituição em conta de terceiros?", "Não. A restituição só é creditada em conta se o declarante for seu titular ou utilizar conta conjunta."
"Como deve declarar o contribuinte divorciado que tenha se casado novamente?", "Apresenta declaração na condição de casado em separado ou opcionalmente em conjunto com o cônjuge."
"Como deve declarar o contribuinte separado de fato?", "Apresenta declaração de acordo com as instruções para contribuinte casado."
"Como deve declarar o contribuinte menor emancipado?", "Apresenta declaração em seu nome com número de inscrição no Cadastro de Pessoas Físicas (CPF) próprio. Se preencher os requisitos para permanecer como dependente pode apresentá-la em conjunto com um dos pais."
"Quem é considerado declarante em conjunto?", "Somente é considerado declarante em conjunto o cônjuge companheiro ou dependente cujos rendimentos sujeitos ao ajuste anual estejam sendo oferecidos à tributação na declaração apresentada pelo contribuinte titular."
